variable,source,description,camels,nan_rate
REMACH,FTS,CONSUMER REMIT ABROAD-INT ACH,E,0.4591
REMAMT,FTS,CONSUMER REM ABROAD AMOUNT,E,0.0034
REMEXCPT,FTS,CONSUMER REM ABROAD NUM EXCEPT,E,0.4591
REMIWT,FTS,CONSUMER REMIT ABROAD-INT WIRE,E,0.4591
REMMECH,FTS,CONSUMER REM ABROAD MECHANISM,E,0.4591
REMNUM,FTS,CONSUMER REM ABROAD NUMBER,E,0.0034
REMPS,FTS,CONSUMER REM ABROAD-PROP INST,E,0.4591
REMPSO,FTS,CONSUMER REM ABROAD-PROP OTH,E,0.4591
REPO0,FTS,REPO-STYLE TRANSACT- 0% RW,UNASSIGNED,0.0034
REPO100,FTS,REPO-STYLE TRANSACT- 100% RW,UNASSIGNED,0.0034
REPO150,FTS,REPO-STYLE TRANSACT- 150% RW,UNASSIGNED,0.0034
REPO2,FTS,REPO-STYLE TRANSACT- 2% RW,UNASSIGNED,0.0034
REPO20,FTS,REPO-STYLE TRANSACT- 20% RW,UNASSIGNED,0.0034
REPO4,FTS,REPO-STYLE TRANSACT- 4% RW,UNASSIGNED,0.0034
REPO50,FTS,REPO-STYLE TRANSACT- 50% RW,UNASSIGNED,0.0034
REPOCEA,FTS,REPO-STYLE TRANSACT- C.E. AMT,UNASSIGNED,0.0034
REPOOCE,FTS,REPO-STYLE TRAN-OTH APP-CE AMT,UNASSIGNED,0.0034
REPOORW,FTS,REPO-STYLE TRAN-OTH APR-RWA AMT,UNASSIGNED,0.0034
REPOPUR,FTS,REPURCHASE AGREEMENTS,UNASSIGNED,0.0
REPOPURD,FTS,REPURCHASE AGREEMENT-DOM,UNASSIGNED,0.0032
REPORCR,FTS,REPO-STYLE TRANSACT- RC-R COL A,UNASSIGNED,0.0034
REPOSLDD,FTS,SEC PURCH UNDER AGR TO RESELL,UNASSIGNED,0.0032
REPOSOLD,FTS,REVERSE REPURCHASE AGREEMENTS,UNASSIGNED,0.0
RPTRC,FTS,REPORT OF CONDITION FLAG,UNASSIGNED,0.0
RPTRI,FTS,REPORT OF INCOME FLAG,E,0.0
RSAGSM,FTS,LN MODS TO BRWRS EXP FIN DFCLTY AG - SMBK,UNASSIGNED,0.0186
RSAUTO,FTS,LN MODS TO BRWRS EXP FIN DFCLTY - AUTO,UNASSIGNED,0.0033
RSCI,FTS,LN MODS TO BRWRS EXP FIN DFCLTY - C&I,UNASSIGNED,0.0033
RSCIUSD,FTS,LN MODS TO BRWRS EXP FIN DFCLTY-C&I-U.S.,UNASSIGNED,0.0033
RSCNFM,FTS,LN MODS TO BRWRS EXP FIN DFCLTY - 1-4 FM CONST,UNASSIGNED,0.0033
RSCNOT,FTS,LN MODS TO BRWRS EXP FIN DFCLTY-OTH CONST & LAND,UNASSIGNED,0.0033
RSCON,FTS,CONSUMER LNS-RESTRUCTURED,UNASSIGNED,0.0033
RSCONOTH,FTS,LN MODS TO BRWRS EXP FIN DFCLTY-CONSUMER LNS OTHER,UNASSIGNED,0.0033
RSCRCD,FTS,LN MODS TO BRWRS EXP FIN DFCLTY - CREDIT CARD,UNASSIGNED,0.0033
RSLDNRW,FTS,SEC PUR AGR RESELL - ADJ COL A,UNASSIGNED,0.0034
RSLDRCR,FTS,SEC PUR AGR RESELL - RC-R COL A,UNASSIGNED,0.0034
RSLNLS,FTS,RESTRUCTURED LN EXCL 1-4 FM,UNASSIGNED,0.0033
RSLNLSTL,FTS,LN MODS TO BRWRS EXP FIN DFCLTY-TOTAL,UNASSIGNED,0.1211
RSLNREFM,FTS,LN MODS TO BRWRS EXP FIN DFCLTY - 1-4 FAMILY,UNASSIGNED,0.0033
RSMULT,FTS,LN MODS TO BRWRS EXP FIN DFCLTY - MULTIFAMILY,UNASSIGNED,0.0033
RSNROT,FTS,LN MODS TO BRWRS EXP FIN DFCLTY - NFNR OTHER,UNASSIGNED,0.0033
RSNROW,FTS,LN MODS TO BRWRS EXP FIN DFCLTY - NFNR OWN-OCC,UNASSIGNED,0.0033
RSOTHER,FTS,LN MODS TO BRWRS EXP FIN DFCLTY - ALL OTHER,UNASSIGNED,0.0033
RSREAG,FTS,LN MODS TO BRWRS EXP FIN DFCLTY - RE FARM,UNASSIGNED,0.0033
RT1LES,FTS,INT RATE CONTRACTS-1 YR OR LESS,S,0.0034
RT1T5,FTS,INT RATE CONTRACTS-1 TO 5 YEARS,S,0.0034
RTNVMK,FTS,INT RATE-MARKED-TO-MARKET,S,0.0001
RTNVTR,FTS,INT RATE-TOTAL-TRADE,S,0.0001
RTOVR1,FTS,INT RATE CONTRACTS-OVER 1 YEAR,S,0.0034
RTOVR5,FTS,INT RATE CONTRACTS-OVER 5 YEARS,S,0.0034
RWA10,FTS,RISK WEIGHTED ASSETS AT 10%,UNASSIGNED,0.0034
RWA100,FTS,RISK WEIGHTED ASSETS AT 100%,UNASSIGNED,0.0034
RWA1250,FTS,RISK WEIGHTED ASSETS AT 1250%,UNASSIGNED,0.0034
RWA150,FTS,RISK WEIGHTED ASSETS AT 150%,UNASSIGNED,0.0034
RWA2,FTS,RISK WEIGHTED ASSETS AT 2%,UNASSIGNED,0.0034
RWA20,FTS,RISK WEIGHTED ASSETS AT 20%,UNASSIGNED,0.0034
RWA250,FTS,RISK WEIGHTED ASSETS AT 250%,UNASSIGNED,0.234
RWA300,FTS,RISK WEIGHTED ASSETS AT 300%,UNASSIGNED,0.0034
RWA4,FTS,RISK WEIGHTED ASSETS AT 4%,UNASSIGNED,0.0034
RWA400,FTS,RISK WEIGHTED ASSETS AT 400%,UNASSIGNED,0.0034
RWA50,FTS,RISK WEIGHTED ASSETS AT 50%,UNASSIGNED,0.0034
RWA600,FTS,RISK WEIGHTED ASSETS AT 600%,UNASSIGNED,0.0034
RWA625,FTS,RISK WEIGHTED ASSETS AT 625%,UNASSIGNED,0.0034
RWA937,FTS,RISK WEIGHTED ASSETS AT 937%,UNASSIGNED,0.0034
RWABDL,FTS,RWA BEFORE DEDUCTIONS FOR L/L,UNASSIGNED,0.0033
RWABS,FTS,TOT ASSETS RECORDED ON BS - RC-R,UNASSIGNED,0.0032
RWABS1,FTS,CATEGORY 1-RWA ON-BALANCE SHEET,UNASSIGNED,0.0034
RWABS10,FTS,TOTAL ASSETS ON-BS - RWA 600%,UNASSIGNED,0.0034
RWABS11,FTS,TOTAL ASSETS ON-BS - RWA 1250%,UNASSIGNED,0.0034
RWABS12,FTS,TOTAL ASSETS ON-BS - RWA 2%,UNASSIGNED,0.1212
RWABS13,FTS,TOTAL ASSETS ON-BS - RWA 4%,UNASSIGNED,0.1212
RWABS2,FTS,CATEGORY 2-RWA ON-BALANCE SHEET,UNASSIGNED,0.0034
RWABS3,FTS,CATEGORY 3-RWA ON-BALANCE SHEET,UNASSIGNED,0.0034
RWABS4,FTS,CATEGORY 4-RWA ON-BALANCE SHEET,UNASSIGNED,0.0034
RWABS6,FTS,TOTAL ASSETS ON-BS - RWA 150%,UNASSIGNED,0.0034
RWABS7,FTS,TOTAL ASSETS ON-BS - RWA 250%,UNASSIGNED,0.234
RWABS8,FTS,TOTAL ASSETS ON-BS - RWA 300%,UNASSIGNED,0.0034
RWABS9,FTS,TOTAL ASSETS ON-BS - RWA 400%,UNASSIGNED,0.0034
RWABSNRW,FTS,TOTAL ASSETS - ADJ TO COL A,UNASSIGNED,0.0034
RWABSOEA,FTS,TOT AST ON-BS-OTH APP-EXP AMT,UNASSIGNED,0.0034
RWACALTH,FTS,RISK-WGHT AST-CALC ALLL THRHLD,UNASSIGNED,0.0033
RWAMKTRK,FTS,RWA - STDIZE MARKET RISK ASSETS,S,0.0033
RWATOTW,FTS,TOTAL RWA-REPORTED-TOT RBC RAT,C,0.0033
RWAW,FTS,NET RWA-REPORTED-T1 & CET1 RAT,UNASSIGNED,0.0033
RWAWT,FTS,NET RWA-REPORTED-TOT RBC RATIO,C,0.0033
S10T250B,FTS,ASSETS 10B TO 250B FLAG,UNASSIGNED,0.0
SC,FTS,SECURITIES,S,0.0
SCAA,FTS,SECURITIES-AA,S,0.0
SCABS,FTS,ABS-TOTAL-B/S,UNASSIGNED,0.0
SCABSAA,FTS,ABS-TOTAL-AA,UNASSIGNED,0.0032
SCABSAF,FTS,ABS-TOTAL-AF,UNASSIGNED,0.0032
SCABSHA,FTS,ABS-TOTAL-HA,UNASSIGNED,0.0032
SCABSHF,FTS,ABS-TOTAL-AF,UNASSIGNED,0.0032
SCABSSAL,FTS,ABS AND STRU FIN PROD - ALL,UNASSIGNED,0.3774
SCACTRAN,FTS,AMORTIZED COST-TRANSFERRED SECS,UNASSIGNED,0.0034
SCAF,FTS,SECURITIES-AF,S,0.0
SCAF0,FTS,SECURITIES AF - 0% RW,S,0.0034
SCAF100,FTS,SECURITIES AF - 100% RW,S,0.0034
SCAF150,FTS,SECURITIES AF - 150% RWA,S,0.0034
SCAF2,FTS,SECURITIES AF - 2% RW,S,0.1212
SCAF20,FTS,SECURITIES AF - 20% RW,S,0.0034
SCAF300,FTS,SECURITIES AF - 300% RWA,S,0.0034
SCAF4,FTS,SECURITIES AF - 4% RW,S,0.1212
SCAF50,FTS,SECURITIES AF - 50% RW,S,0.0034
SCAF600,FTS,SECURITIES AF - 600% RWA,S,0.0034
SCAFDOM,FTS,SECURITIES - AF - DOM,S,0.0032
SCAFNRW,FTS,SECURITIES AF - ADJ COL A,S,0.0034
SCAFOEA,FTS,SEC AF-OTH APPR-EXP AMT,UNASSIGNED,0.0034
SCAFORW,FTS,SEC AF-OTH APPR-RWA AMT,UNASSIGNED,0.0034
SCAFRCR,FTS,SECURITIES AF BS - RC-R COL A,S,0.0034
SCAFSADJ,FTS,ALLOW DEBT SEC AFS-ADJUSTMENT,UNASSIGNED,0.3418
SCAFSBEG,FTS,ALLOW DEBT SEC-AFS-BEGIN BAL,UNASSIGNED,0.3418
SCAFSRES,FTS,ALLOW DEBT SEC AFS-END BAL,UNASSIGNED,0.3418
SCAGE,FTS,U.S. AGENCY,UNASSIGNED,0.0
SCAGEMV,FTS,U.S. AGENCY-MV,UNASSIGNED,0.0032
SCASPNAA,FTS,U.S. AGENCY AND SPONSORED-AA,UNASSIGNED,0.0032
SCASPNAF,FTS,U.S. AGENCY AND SPONSORED-AF,UNASSIGNED,0.0032
SCASPNHA,FTS,U.S. AGENCY AND SPONSORED-HA,UNASSIGNED,0.0032
SCASPNHF,FTS,U.S. AGENCY AND SPONSORED-HF,UNASSIGNED,0.0032
SCBORROW,FTS,SECURITIES BORROWED,L,0.0032
SCCMOGAA,FTS,OTHER COMM MBS-GOVT-AA,UNASSIGNED,0.0032
SCCMOGAF,FTS,OTHER COMM MBS-GOVT-AF,UNASSIGNED,0.0032
SCCMOGHA,FTS,OTHER COMM MBS-GOVT-HA,UNASSIGNED,0.0032
SCCMOGHF,FTS,OTHER COMM MBS-GOVT-HF,UNASSIGNED,0.0032
SCCMOPAA,FTS,OTHER COMM MBS-PVT-AA,UNASSIGNED,0.0032
SCCMOPAF,FTS,OTHER COMM MBS-PVT-AF,UNASSIGNED,0.0032
SCCMOPHA,FTS,OTHER COMM MBS-PVT-HA,UNASSIGNED,0.0032
SCCMOPHF,FTS,OTHER COMM MBS-PVT-HF,UNASSIGNED,0.0032
SCCMOTAA,FTS,OTHER COMMERCIAL MBS - AA,UNASSIGNED,0.0032
SCCMOTAF,FTS,OTHER COMMERCIAL MBS - AF,UNASSIGNED,0.0032
SCCMOTHA,FTS,OTHER COMMERCIAL MBS - HA,UNASSIGNED,0.0032
SCCMOTHF,FTS,OTHER COMMERCIAL MBS - HF,UNASSIGNED,0.0032
SCCMPTAA,FTS,COMM MBS PASS-THROUGH - AA,UNASSIGNED,0.0032
SCCMPTAF,FTS,COMM MBS PASS-THROUGH - AF,UNASSIGNED,0.0032
SCCMPTHA,FTS,COMM MBS PASS-THROUGH - HA,UNASSIGNED,0.0032
SCCMPTHF,FTS,COMM MBS PASS-THROUGH - HF,UNASSIGNED,0.0032
SCCOL,FTS,U.S. AGENCY COLLATERAL MTG-RES,UNASSIGNED,0.0032
SCCOLAA,FTS,U.S. AGENCY ISSUED OR GTY-RES-AA,UNASSIGNED,0.0032
SCCOLAF,FTS,U.S. AGENCY ISSUED OR GTY-RES-AF,UNASSIGNED,0.0032
SCCOLAFD,FTS,U.S. AGENCY COLL MTG -AF-DOM,UNASSIGNED,0.0032
SCCOLDOM,FTS,U.S. AGENCY COLLATERAL MTG-DOM,UNASSIGNED,0.0032
SCCOLHA,FTS,U.S. AGENCY ISSUED OR GTY-RES-HA,UNASSIGNED,0.0032
SCCOLHAD,FTS,U.S. AGENCY COLL MTG -HA-DOM,UNASSIGNED,0.0032
SCCOLHF,FTS,U.S. AGENCY ISSUED OR GTY-RES-HF,UNASSIGNED,0.0032
SCCOLMV,FTS,U.S.AGENCY COLLATERAL MTG-RES-MV,UNASSIGNED,0.0032
SCCPTGAA,FTS,COMM MBS PASS-THRU-GOVT-AA,UNASSIGNED,0.0032
SCCPTGAF,FTS,COMM MBS PASS-THRU-GOVT-AF,UNASSIGNED,0.0032
SCCPTGHA,FTS,COMM MBS PASS-THRU-GOVT-HA,UNASSIGNED,0.0032
SCCPTGHF,FTS,COMM MBS PASS-THRU-GOVT-HF,UNASSIGNED,0.0032
SCCPTPAA,FTS,COMM MBS PASS-THRU-PVT-AA,UNASSIGNED,0.0032
SCCPTPAF,FTS,COMM MBS PASS-THRU-PVT-AF,UNASSIGNED,0.0032
SCCPTPHA,FTS,COMM MBS PASS-THRU-PVT-HA,UNASSIGNED,0.0032
SCCPTPHF,FTS,COMM MBS PASS-THRU-PVT-HF,UNASSIGNED,0.0032
SCDBEQ,FTS,DEBT & EQUITY,C,0.4821
SCDBEQMV,FTS,DEBT & EQUITY-MV,C,0.4836
SCDDEQ,FTS,DOMESTIC DEBT & EQUITY,C,0.4821
SCDDEQMV,FTS,DOMESTIC DEBT & EQUITY-MV,C,0.4836
SCDEBT,FTS,DEBT SECURITIES,S,0.0032
SCDEBTAL,FTS,SEC HTM ISS BY MUNI ALL,UNASSIGNED,0.3774
SCDEBTMV,FTS,DEBT SECURITIES-MV,S,0.0032
SCDOM,FTS,SECURITIES-DOM,S,0.0032
SCDOMD,FTS,ALL OTHER DOMESTIC DEBT,UNASSIGNED,0.0032
SCDOMDMV,FTS,ALL OTHER DOMESTIC DEBT-MV,UNASSIGNED,0.0032
SCDOMO,FTS,OTHER DOMESTIC DEBT,UNASSIGNED,0.0032
SCDOMOMV,FTS,OTHER DOMESTIC DEBT-MV,UNASSIGNED,0.0032
SCEQ,FTS,EQUITY SECURITIES,C,0.4836
SCEQC,FTS,EQ SEC READILY DET FV - COST,UNASSIGNED,0.234
SCEQDOM,FTS,EQUITY SECURITIES-DOM,C,0.4836
SCEQFV,FTS,EQ SEC READILY DET FV,UNASSIGNED,0.2314
SCEQFVD,FTS,EQ SEC READILY DET FV-DOM,UNASSIGNED,0.2314
SCEQMV,FTS,EQUITY SECURITIES-MV,C,0.4836
SCEQO,FTS,EQ INVEST W/O READILY DET FV,UNASSIGNED,0.0032
SCEQOAA,FTS,EQ INVEST W/O READILY DET FV,UNASSIGNED,0.0032
SCEQODMA,FTS,EQ INV W/O READILY DET FV-DOM,UNASSIGNED,0.0032
SCFDEQ,FTS,FOREIGN DEBT & EQUITY,C,0.0032
SCFDEQMV,FTS,FOREIGN DEBT & EQUITY-MV,C,0.0032
SCFMN,FTS,U.S. AGENCY ISSUED*FNMA-RES,UNASSIGNED,0.0032
SCFMNAA,FTS,U.S. AGENCY ISSUED*FNMA-RES-AA,UNASSIGNED,0.0032
SCFMNAF,FTS,U.S. AGENCY ISSUED*FNMA-RES-AF,UNASSIGNED,0.0032
SCFMNHA,FTS,U.S. AGENCY ISSUED*FNMA-RES-HA,UNASSIGNED,0.0032
SCFMNHF,FTS,U.S. AGENCY ISSUED*FNMA-RES-HF,UNASSIGNED,0.0032
SCFMNMV,FTS,U.S. AGENCY ISSUED*FNMA-RES-MV,UNASSIGNED,0.0032
SCFORAFD,FTS,FGN DEBT SEC - AF - DOM,UNASSIGNED,0.0032
SCFORD,FTS,FOREIGN DEBT SECURITIES,S,0.0032
SCFORDAA,FTS,FOREIGN DEBT SECURITIES-AA,S,0.0032
SCFORDAF,FTS,FOREIGN DEBT SECURITIES-AF,S,0.0032
SCFORDD,FTS,FOREIGN DEBT SECURITIES-DOM,S,0.0032
SCFORDHA,FTS,FOREIGN DEBT SECURITIES-HA,S,0.0032
SCFORDHF,FTS,FOREIGN DEBT SECURITIES-HF,S,0.0032
SCFORDMV,FTS,FOREIGN DEBT SECURITIES-MV,S,0.0032
SCFORHAD,FTS,FGN DEBT SEC - HA - DOM,UNASSIGNED,0.0032
SCGNFMAA,FTS,U.S.AGY ISS GNMA FNMA-RES-AA,UNASSIGNED,0.3746
SCGNFMAF,FTS,U.S.AGY ISS GNMA FNMA-RES-AF,UNASSIGNED,0.3746
SCGNFMHA,FTS,U.S.AGY ISS GNMA FNMA-RES-HA,UNASSIGNED,0.3746
SCGNFMHF,FTS,U.S.AGY ISS GNMA FNMA-RES-HF,UNASSIGNED,0.3746
SCGTY,FTS,U.S. AGENCY ISSUED OR GTY-RES,UNASSIGNED,0.0032
SCGTYAFD,FTS,U.S. AGY ISS OR GTY PT -AF-DOM,UNASSIGNED,0.0032
SCGTYDOM,FTS,U.S. AGENCY ISSUED OR GTY-DOM,UNASSIGNED,0.0032
SCGTYHAD,FTS,U.S. AGY ISS OR GTY PT -HA-DOM,UNASSIGNED,0.0032
SCGTYMV,FTS,U.S. AGENCY ISSUED OR GTY-RES-MV,UNASSIGNED,0.0032
SCHA,FTS,SECURITIES-HA,S,0.0
SCHA0,FTS,SECURITIES HA - 0% RWA,S,0.0034
SCHA100,FTS,SECURITIES HA - 100% RWA,S,0.0034
SCHA150,FTS,SECURITIES HA - 150% RW,S,0.0034
SCHA2,FTS,SECURITIES HA - 2% RWA,S,0.1212
SCHA20,FTS,SECURITIES HA - 20% RWA,S,0.0034
SCHA4,FTS,SECURITIES HA - 4% RWA,S,0.1212
SCHA50,FTS,SECURITIES HA - 50% RWA,S,0.0034
SCHADOM,FTS,SECURITIES - HA - DOM,S,0.0032
SCHANET,FTS,SECURITIES-HA-NET ALLOW,S,0.3418
SCHANRW,FTS,SECURITIES HA - ADJ COL A,S,0.0034
SCHARCR,FTS,SECURITIES HA BS - RC-R COL A,S,0.0034
SCHF,FTS,SECURITIES-HF,S,0.0
SCHTMADJ,FTS,ALLOW DEBT SEC HTM-ADJUSTMENT,UNASSIGNED,0.3418
SCHTMBEG,FTS,ALLOW DEBT SEC HTM-BEGIN BAL,UNASSIGNED,0.3418
SCHTMRES,FTS,ALLOW DEBT SEC HTM-END BAL,UNASSIGNED,0.3418
SCLENT,FTS,SECURITIES LENT,S,0.0032
SCMA1LES,FTS,SEC MATURING * 1 YR OR LESS,UNASSIGNED,0.0032
SCMEODOM,FTS,EQUITY SECS MUTUAL & OTHER-DOM,C,0.4836
SCMEOTAA,FTS,EQUITY SECS-MUT FUND & OTHER-AA,C,0.4836
SCMEOTH,FTS,EQUITY SECS-MUTUAL FUNDS & OTHER,C,0.4836
SCMEOTMV,FTS,EQUITY SECS-MUTUAL & OTHER-MV,C,0.4836
SCMTGHAL,FTS,MORTGAGE BACKED SEC - ALL,UNASSIGNED,0.3774
SCMUNAFD,FTS,MUNICIPAL SECURITIES -AF- DOM,S,0.0032
SCMUNHAD,FTS,MUNICIPAL SECURITIES -HA- DOM,S,0.0032
SCMUNHAL,FTS,SEC HTM ISS BY MUNI ALL,UNASSIGNED,0.3774
SCMUNI,FTS,MUNICIPAL SECURITIES,S,0.0032
SCMUNIAA,FTS,MUNICIPAL SECURITIES -AA,S,0.0032
SCMUNIAF,FTS,MUNICIPAL SECURITIES -AF,S,0.0032
SCMUNID,FTS,MUNICIPAL SECURITIES-DOM,S,0.0032
SCMUNIHA,FTS,MUNICIPAL SECURITIES -HA,S,0.0032
SCMUNIHF,FTS,MUNICIPAL SECURITIES -HF,S,0.0032
SCMUNIMV,FTS,MUNICIPAL SECURITIES-MV,S,0.0032
SCMV,FTS,SECURITIES-MV,S,0.0
SCNM1T3,FTS,NONMTG DEBT SEC * 1-3 YEARS,UNASSIGNED,0.0032
SCNM3LES,FTS,NONMTG DEBT SEC*3 MONS OR LESS,UNASSIGNED,0.0032
SCNM3T12,FTS,NONMTG DEBT SEC * 3-12 MONTHS,UNASSIGNED,0.0032
SCNM3T5,FTS,NONMTG DEBT SEC * 3-5 YEARS,UNASSIGNED,0.0032
SCNM5T15,FTS,NONMTG DEBT SEC * 5-15 YEARS,UNASSIGNED,0.0032
SCNMOV15,FTS,NONMTG DEBT SEC * OVER 15 YEARS,UNASSIGNED,0.0032
SCO3YLES,FTS,OTH MORTGAGE SEC * 3 YR OR LESS,UNASSIGNED,0.0032
SCODOT,FTS,OTH DOM DEBT*ALL OTHER,UNASSIGNED,0.0
SCODOTAA,FTS,OTH DOM DEBT*ALL OTHER-DOM-AA,UNASSIGNED,0.0032
SCODOTAF,FTS,OTH DOM DEBT*ALL OTHER-DOM-AF,UNASSIGNED,0.0032
SCODOTD,FTS,OTH DOM DEBT*ALL OTHER-DOM,UNASSIGNED,0.0032
SCODOTHA,FTS,OTH DOM DEBT*ALL OTHER-DOM-HA,UNASSIGNED,0.0032
SCODOTHF,FTS,OTH DOM DEBT*ALL OTHER-DOM-HF,UNASSIGNED,0.0032
SCODOTMV,FTS,OTH DOM DEBT*ALL OTHER-MV,UNASSIGNED,0.0032
SCODPC,FTS,RES-OTH DOM DEBT*PRIV CERTS,UNASSIGNED,0.0
SCODPCAA,FTS,RES-OTH DOM DEBT*PRIV CERTS-AA,UNASSIGNED,0.0032
SCODPCAF,FTS,RES-OTH DOM DEBT*PRIV CERTS-AF,UNASSIGNED,0.0032
SCODPCD,FTS,OTH DOM DEBT*PRIV CERTS-DOM,UNASSIGNED,0.0032
SCODPCHA,FTS,RES-OTH DOM DEBT*PRIV CERTS-HA,UNASSIGNED,0.0032
SCODPCHF,FTS,RES-OTH DOM DEBT*PRIV CERTS-HF,UNASSIGNED,0.0032
SCODPCMV,FTS,RES-OTH DOM DEBT*PRIV CERTS-MV,UNASSIGNED,0.0032
SCODPI,FTS,RES-OTH DOM DEBT*PRIV ISSUE,UNASSIGNED,0.0032
SCODPID,FTS,OTH DOM DEBT*PRIV ISSUE-DOM,UNASSIGNED,0.0032
SCODPIMV,FTS,RES-OTH DOM DEBT*PRIV ISSUE-MV,UNASSIGNED,0.0032
SCODTAFD,FTS,OTH DOM DBT*ALL OTHER -AF-DOM,UNASSIGNED,0.0032
SCODTHAD,FTS,OTH DOM DBT*ALL OTHER -HA-DOM,UNASSIGNED,0.0032
SCOOV3Y,FTS,OTH MORTGAGE SEC * OVER 3 YRS,UNASSIGNED,0.0032
SCOPCAFD,FTS,OTH PASS-THROUGH PRIV -AF-DOM,UNASSIGNED,0.0032
SCOPCHAD,FTS,OTH PASS-THROUGH PRIV -HA-DOM,UNASSIGNED,0.0032
SCOPIAFD,FTS,ALL OTH MBS DEBT*PRIV-AF-DOM,UNASSIGNED,0.0032
SCOPICAA,FTS,RES-OTH DOM DEBT*PRIV ISSUE-AA,UNASSIGNED,0.0032
SCOPICAF,FTS,RES-OTH DOM DEBT*PRIV ISSUE-AF,UNASSIGNED,0.0032
SCOPICHA,FTS,RES-OTH DOM DEBT*PRIV ISSUE-HA,UNASSIGNED,0.0032
SCOPICHF,FTS,RES-OTH DOM DEBT*PRIV ISSUE-HF,UNASSIGNED,0.0032
SCOPIHAD,FTS,ALL OTH MBS DEBT*PRIV-HA-DOM,UNASSIGNED,0.0032
SCOPIOAA,FTS,RES-OTH DOM DEBT*OTH PRIV ISSUE-AA,UNASSIGNED,0.0032
SCOPIOAF,FTS,RES-OTH DOM DEBT*OTH PRIV ISSUE-AF,UNASSIGNED,0.0032
SCOPIOHA,FTS,RES-OTH DOM DEBT*OTH PRIV ISSUE-HA,UNASSIGNED,0.0032
SCOPIOHF,FTS,RES-OTH DOM DEBT*OTH PRIV ISSUE-HF,UNASSIGNED,0.0032
SCPLEDGE,FTS,PLEDGED SECURITIES,S,0.0
SCPT1T3,FTS,MTG PASS-THRU SEC * 1-3 YEARS,UNASSIGNED,0.0032
SCPT3LES,FTS,MTG PASS-THRU SEC*3 MON OR LESS,UNASSIGNED,0.0032
SCPT3T12,FTS,MTG PASS-THRU SEC * 3-12 MONTHS,UNASSIGNED,0.0032
SCPT3T5,FTS,MTG PASS-THRU SEC * 3-5 YEARS,UNASSIGNED,0.0032
SCPT5T15,FTS,MTG PASS-THRU SEC * 5-15 YEARS,UNASSIGNED,0.0032
SCPTOV15,FTS,MTG PASS-THRU SEC * OVER 15 YRS,UNASSIGNED,0.0032
SCRDEBT,FTS,DEBT SECURITIES,S,0.0032
SCSFPAA,FTS,STRUCT FIN PROD - AA,UNASSIGNED,0.0032
SCSFPAF,FTS,STRUCT FIN PROD - AF,UNASSIGNED,0.0032
SCSFPHA,FTS,STRUCT FIN PROD - HA,UNASSIGNED,0.0032
SCSFPHF,FTS,STRUCT FIN PROD - HF,UNASSIGNED,0.0032
SCSNHAA,FTS,STRUCTURED NOTES-AMORTIZED COST,UNASSIGNED,0.0
SCSNHAF,FTS,STRUCTURED NOTES-FAIR VALUE,UNASSIGNED,0.0
SCTOTALL,FTS,TOTAL H-T-M SECURITIES - ALLOW,S,0.3774
SCUS,FTS,U.S. TREASURY & AGENCY,UNASSIGNED,0.0
SCUSA,FTS,U.S. AGENCY ALL OTHER,UNASSIGNED,0.0032
SCUSAMV,FTS,U.S. AGENCY ALL OTHER-MV,UNASSIGNED,0.0032
SCUSAXMD,FTS,U.S. AGENCY EXCL MTG-BACKED-DOM,UNASSIGNED,0.0032
SCUSMV,FTS,U.S. TREASURY & AGENCY-MV,UNASSIGNED,0.0032
SCUST,FTS,U.S. TREASURY SECURITIES,S,0.0
SCUSTAA,FTS,U.S. TREASURY SECURITIES-AA,S,0.0032
SCUSTAF,FTS,U.S. TREASURY SECURITIES-AF,S,0.0032
SCUSTAFD,FTS,U.S. TREASURY SEC - AF - DOM,UNASSIGNED,0.0032
SCUSTDOM,FTS,U.S. TREASURY SECURITIES-DOM,S,0.0032
SCUSTHA,FTS,U.S. TREASURY SECURITIES-HA,S,0.0032
SCUSTHAD,FTS,U.S. TREASURY SEC - HA - DOM,UNASSIGNED,0.0032
SCUSTHF,FTS,U.S. TREASURY SECURITIES-HF,S,0.0032
SCUSTMV,FTS,U.S. TREASURY SECURITIES-MV,S,0.0032
SCUSXAFD,FTS,U.S. AG EXCL MTG-BK - AF - DOM,UNASSIGNED,0.0032
SCUSXHAD,FTS,U.S. AG EXCL MTG-BK - HA - DOM,UNASSIGNED,0.0032
SECLBFF,FTS,SECURED LIAB - FED FUNDS PURCH,UNASSIGNED,0.0032
SECLBOTH,FTS,SECURED LIAB - OTHER BORROWINGS,L,0.0032
SPECGRP,FTS,INDUSTRY SPECIALIZATION GROUP,UNASSIGNED,0.0
STRIPTOT,FTS,INTEREST ONLY STRIPS - TOTAL,UNASSIGNED,0.0032
SUBCHAPS,FTS,SUBCHAPTER S ELECTION,UNASSIGNED,0.0
SUBLLPF,FTS,SUB. DEBT & L/L PREFERRED STK,UNASSIGNED,0.0032
SUBND,FTS,SUBORDINATED NOTES & DEBENTURES,UNASSIGNED,0.0032
SUBND1L,FTS,SUB NOTES & DEB MAT 1 YR OR LS,UNASSIGNED,0.0032
SUBND1T3,FTS,SUB NOTES & DEB MAT 1 TO 3 YR,UNASSIGNED,0.0032
SUBND3T5,FTS,SUB NOTES & DEB MAT 3 TO 5 YR,UNASSIGNED,0.0032
